"pointid","xcoord","ycoord"
126,1697699.2132,2312815.542
127,1697790.7618,2312521.385
128,1695899.3274,2314020.6051
129,1696138.0893,2314178.8027
130,1696691.1387,2314585.4499
131,1696815.3059,2314770.4753
132,1696903.6984,2314861.0034
133,1697115.0997,2314944.9101
134,1697720.9953,2315080.2305
135,1698130.9139,2315247.7859
136,1698257.6913,2316660.2548
137,1698603.5323,2316755.8445
138,1699176.4357,2316923.088
139,1699959.2884,2316636.4975
140,1700302.8236,2315989.6591
141,1700810.515,2315950.9711
142,1701709.1492,2315886.8228
143,1702191.7182,2315902.7932
144,1702595.5615,2316016.5476
145,1702709.3797,2316120.5997
146,1702976.5981,2316290.3477
147,1703152.7436,2316497.4314
148,1703287.1699,2316729.3082
149,1703852.776,2317230.4225
150,1705039.7395,2317125.7276
151,1706028.5698,2317619.0395
152,1706124.9582,2317986.5798
153,1706538.0656,2318406.4526
154,1706662.5332,2318520.7395
155,1707288.1425,2319100.7431
156,1707539.4893,2319492.3645
157,1708314.9835,2320061.209
158,1710050.8658,2323792.6577
159,1709658.9871,2321498.0675
160,1710667.2697,2324488.1521
161,1720635.8592,2326644.7747
162,1710823.7194,2328156.2245
163,1710714.2074,2329063.4603
164,1710942.3436,2329702.5405
165,1710967.8383,2329784.37
166,1712922.177,2330617.0716
167,1718208.0607,2331478.9521
168,1720983.2638,2331153.1383
169,1724167.6223,2333287.1591
170,1725518.9208,2333296.0623
171,1732965.7568,2338732.487
172,1713431.1221,2332143.1526
173,1714137.5979,2335371.2884
174,1714702.3243,2335483.1986
175,1718151.3227,2337340.6008
176,1721092.261,2340370.506
177,1724721.6832,2342438.5502
178,1726426.1132,2343286.5033
179,1729456.3453,2347199.6399
180,1730194.3984,2347358.0713
181,1733999.5028,2357757.5137
182,1733249.4896,2356654.6428
183,1733328.7719,2356308.1248
184,1733672.8396,2354385.1358
185,1733670.5095,2354248.1854
186,1733678.2571,2354373.1936
187,1700625.5734,2318864.0669
188,1701600.6626,2320948.1873
189,1701631.6123,2321736.2453
190,1701835.8911,2322327.083
191,1702062.9532,2322839.1126
192,1702757.5534,2324732.0444
193,1702767.5874,2325266.3904
194,1703240.5936,2327886.5439
195,1703091.9317,2328668.5217
196,1702624.8516,2330286.2781
197,1702167.9232,2331534.0958
198,1702188.3199,2332531.9742
199,1702097.8985,2331801.5252
200,1702174.489,2331539.9902
201,1698446.1461,2316870.1139
202,1698427.9136,2316766.4365
203,1698927.248,2320367.0628
204,1698295.1084,2323117.2433
205,1697908.1777,2323935.1813
206,1696313.2141,2324963.0362
207,1693811.656,2326843.0346
208,1686853.9674,2315574.9811
209,1686717.296,2313228.8823
210,1687045.8353,2315701.0943
211,1686819.0671,2316612.5722
212,1686532.0881,2318207.648
213,1686517.6916,2318343.3357
214,1686624.2466,2319302.0428
215,1687259.2146,2320267.1978
216,1688486.6466,2322176.729
217,1689652.6754,2324737.1219
218,1679456.4082,2304553.7678
219,1679339.3907,2302565.3891
220,1680966.155,2305499.8679
221,1681899.9891,2309198.416
222,1681745.0564,2310440.1966
223,1681396.4486,2311259.368
224,1680335.7571,2313116.1859
225,1678294.1001,2316116.3095
226,1678339.1251,2316474.6768
227,1677777.7898,2299757.8171
228,1678153.7102,2299822.4021
229,1674796.5125,2297834.3796
230,1674083.1929,2297776.5524
231,1673743.4049,2297735.6334
232,1672754.5774,2297685.1234
233,1672624.0441,2298557.7509
234,1673232.9057,2301571.8817
235,1672440.0197,2303713.2323
236,1672894.6241,2305681.77
237,1673181.7504,2306992.3319
238,1673539.5167,2307338.5322
239,1673382.1436,2309855.7515
240,1673295.0314,2310473.2014
241,1672991.0556,2311241.9061
242,1673050.0072,2311595.5219
243,1673814.2065,2312196.4155
244,1674921.5451,2312647.7033
245,1674684.9649,2315922.7663
246,1675136.349,2313431.2925
247,1671800.8345,2297175.1457
248,1671243.963,2296328.5569
249,1670710.1138,2295067.941
250,1671227.9,2293839.7959
251,1672153.1878,2292815.5111
252,1698725.8319,2279014.2868
253,1698964.7496,2281346.8015
254,1697518.1441,2277457.5319
255,1697118.4909,2275133.6364
256,1695208.9572,2275441.4515
257,1693734.487,2275533.2015
258,1691298.9575,2274500.8286
259,1689755.3799,2274097.5659
260,1688633.6188,2275108.3591
261,1686735.3646,2274978.051
262,1686060.3079,2274899.9211
263,1684851.1748,2275721.0015
264,1684841.3319,2276644.1105
265,1699344.4009,2286949.5333
266,1700425.2712,2283186.3295
267,1700434.3332,2283173.6515
268,1724099.1514,2349628.1724
269,1724086.5896,2350226.1297
270,1701707.4138,2286750.9173
271,1702344.4913,2283759.276
272,1702153.3344,2289407.3966
273,1717954.5975,2285982.5282
274,1717788.7271,2286338.6454
275,1714420.3574,2279914.3873
276,1669196.2013,2310423.7555
277,1690145.5441,2308437.9197
278,1690079.5845,2308397.1776
279,1690691.2559,2309496.1178
280,1690581.6837,2309272.8872
281,1691076.1196,2310366.0195
282,1692160.2209,2311103.7464
283,1692456.4638,2311675.9201
284,1692513.4237,2311814.4908
285,1692544.6856,2312010.2292
286,1692535.7279,2317004.9676
287,1715571.0805,2340009.197
288,1713290.771,2345288.9151
289,1713116.8561,2345795.031
290,1712647.1196,2346373.2161
291,1711125.6895,2281439.8062
292,1710865.6491,2278911.1836
293,1712273.6571,2281866.4955
294,1713734.903,2282557.1793
295,1714039.8893,2282974.037
296,1716760.3311,2286940.5313
297,1724260.9152,2272789.6472
298,1724439.9251,2272672.643
299,1724848.5867,2272843.7807
300,1725790.3622,2272395.3198
301,1726106.5353,2272277.8334
302,1728136.7458,2272196.167
303,1716661.4284,2344414.5047
304,1724159.7247,2279699.131
305,1724260.0518,2282721.4803
306,1690306.1106,2316451.7631
307,1687030.9174,2313001.9565
308,1690878.6826,2317940.2579
309,1690928.2812,2324027.6541
310,1690849.7966,2324274.8596
311,1671840.9837,2298639.8913
312,1670281.2674,2300348.2735
313,1669599.2218,2301441.0666
314,1668764.6105,2304634.7452
315,1727108.3995,2284089.7157
316,1727128.4128,2288177.529
317,1703924.1055,2288538.8354
318,1706068.8687,2282325.0539
319,1706069.6542,2282313.0781
320,1703902.8341,2288854.0254
321,1703968.1615,2289626.493
322,1703864.5259,2290067.5112
323,1695872.5737,2317197.1932
324,1692822.9548,2320083.784
325,1681529.7824,2293651.6436
326,1681596.1342,2293913.7776
327,1681944.5683,2294712.7766
328,1681913.4941,2294738.0029
329,1679941.28,2292957.2868
330,1679865.2065,2292401.2825
331,1679550.806,2291847.1234
332,1678968.0981,2290869.4624
333,1680293.8812,2288255.5701
334,1681250.6387,2317546.368
335,1708588.3399,2337011.7446
336,1708260.2801,2337283.7173
337,1674438.9829,2303554.3055
338,1723065.2774,2253046.1161
339,1722851.7768,2252046.1483
340,1723324.2989,2254027.3624
341,1722676.9327,2256036.7625
342,1722721.0578,2258976.9034
343,1723203.8835,2262815.288
344,1722725.309,2260803.939
345,1723320.3654,2263272.1201
346,1724487.0417,2264344.4471
347,1726365.7983,2264771.9403
348,1726775.1795,2268759.7068
349,1726506.3874,2270040.1598
350,1726018.6049,2270756.6568
351,1685484.7039,2321974.4425
352,1686060.3603,2324148.2534
353,1683771.8652,2309791.935
354,1684354.4959,2304711.5931
355,1738759.8727,2348674.9359
356,1686592.9094,2290515.0062
357,1687291.7318,2291751.432
358,1686462.551,2290121.9936
359,1685290.7519,2288980.3839
360,1684783.9124,2288174.1085
361,1683860.8115,2287748.525
362,1683139.2218,2286880.9605
363,1683835.9862,2287739.6649
364,1682270.9567,2285124.796
365,1714180.1722,2267246.288
366,1715441.7068,2267499.0144
367,1713124.7455,2267737.273
368,1711147.6773,2268594.3172
369,1708249.7097,2270890.2962
370,1711545.6015,2272739.3377
371,1712372.6603,2274290.4867
372,1712373.1549,2274291.9809
373,1709709.9697,2273402.3009
374,1707719.7796,2272963.1936
375,1706851.5961,2274235.5281
376,1692747.4869,2278932.7209
377,1691364.1686,2278997.323
378,1692411.7501,2278780.0841
379,1691053.8216,2278905.3156
380,1690880.3055,2278848.7202
381,1690795.9379,2278879.9085
382,1690241.6632,2279156.0938
383,1689761.4849,2279506.2698
384,1689631.8192,2279813.1943
385,1689198.6453,2280430.5803
386,1707728.6355,2279498.6028
387,1708605.6103,2279830.7793
388,1706644.8944,2279849.3668
389,1705897.7764,2279097.6613
390,1704990.2275,2278011.1318
391,1705011.773,2277567.4523
